Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0.0238095238095237,0.5,0.3886900501073729,0.0,0.2857142857142857,0.25,0.0,0.0,0.5766811804547654,0.6666666666666667,1,0.3428571428571428,0.6666666666666667,0.0,0.1,0.0,0.0,0.0812532912058978,0.2038948002409154,0.1111111111111111,0,1.0,1.0,0.6666666666666667,0.0,0.0,0.025,0.6666666666666666,0.6666666666666667,0.025,0.0555555555555555,0.0,0.0,0.0
0.3571428571428571,0.5,0.8410880458124552,0.0,0.5,0.0,0.2,0.0,0.2810836961780357,0.3333333333333333,1,0.3714285714285714,0.6666666666666667,0.5,0.5,0.6666666666666667,0.5,0.6635597682991048,0.9044368600682594,0.7777777777777777,1,0.0714285714285714,0.0,1.0,0.0,0.0,0.375,0.3333333333333333,1.0,0.175,0.3333333333333333,0.4666666666666667,0.4117647058823529,1.0
0.8095238095238095,0.5,0.8754473872584109,0.0,0.3571428571428571,0.75,0.0,0.0,0.3928398645379777,1.0,0,0.7428571428571429,0.6666666666666667,0.25,0.2,0.6666666666666667,0.5,0.1126908899420748,0.7920899417787592,0.8888888888888888,0,0.6428571428571427,1.0,0.3333333333333333,0.0,0.3333333333333333,0.225,0.5,0.6666666666666667,0.125,0.1111111111111111,0.0666666666666666,0.2352941176470588,0.0
0.2142857142857142,1.0,0.3500357909806728,0.0,0.0357142857142857,0.5,0.2,0.0,0.7968069666182873,1.0,1,0.8142857142857143,0.6666666666666667,0.0,0.1,1.0,0.0,0.0827277514481306,0.1687612929130696,0.2222222222222222,0,0.1428571428571428,0.0,0.6666666666666667,0.0,0.0,0.15,0.0,0.3333333333333333,0.1,0.1111111111111111,0.0666666666666666,0.1176470588235294,0.0
0.380952380952381,1.0,0.1438797423049391,0.5,0.0357142857142857,0.75,0.3999999999999999,0.0,0.1040154813739719,0.6666666666666667,0,0.6428571428571428,0.6666666666666667,0.0,0.6,0.6666666666666667,0.5,0.0643496577145866,0.3702067857859867,0.6666666666666666,0,0.4999999999999999,0.0,1.0,0.0,0.3333333333333333,0.15,0.5,0.6666666666666667,0.1,0.1666666666666666,0.0666666666666666,0.1176470588235294,0.0
0.3333333333333333,1.0,0.64638511095204,0.0,0.0357142857142857,0.25,0.0,0.0,0.0033865505563618,1.0,1,0.7,0.6666666666666667,0.0,0.2,1.0,0.0,0.1084254870984728,0.3922907046777755,0.0,0,0.1428571428571428,0.0,0.6666666666666667,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.175,0.3888888888888888,0.2,0.3529411764705882,0.0
0.4285714285714285,1.0,0.3321403006442376,0.0,0.6071428571428571,0.75,0.0,0.0,0.1964199322689888,0.6666666666666667,1,0.7285714285714284,1.0,0.0,0.2,1.0,0.5,0.1410742496050553,0.2018871712507528,0.4444444444444444,0,0.4999999999999999,0.0,1.0,0.0,0.6666666666666666,0.1,0.3333333333333333,0.6666666666666667,0.025,0.0,0.0,0.0,0.0
0.380952380952381,0.5,0.8962061560486757,0.0,0.1428571428571428,0.5,0.2,0.0,0.073536526366715,0.6666666666666667,0,0.2142857142857142,0.3333333333333333,0.5,0.5,0.0,0.0,0.5593470247498683,0.1413772334872515,0.2222222222222222,0,0.0714285714285714,0.0,1.0,0.0,0.0,0.35,1.0,0.6666666666666667,0.275,0.5555555555555556,0.3333333333333333,0.4705882352941176,0.0
0.4761904761904761,0.5,0.478167501789549,0.5,0.3214285714285714,0.75,0.3999999999999999,0.0,0.5408805031446541,0.6666666666666667,1,0.6142857142857143,0.3333333333333333,0.5,0.0,0.6666666666666667,1.0,0.4071090047393365,0.1395302148163019,0.0,1,0.2142857142857143,0.0,0.3333333333333333,0.0,0.6666666666666666,0.225,0.3333333333333333,0.6666666666666667,0.2,0.3888888888888888,0.1333333333333333,0.4117647058823529,0.0
0.2857142857142856,0.5,0.814602720114531,1.0,0.2857142857142857,0.5,0.8,0.0,0.0885341074020319,0.6666666666666667,1,0.2571428571428572,0.6666666666666667,0.25,0.8,1.0,0.5,0.2810953133228014,0.4773338687010641,0.0,1,0.5714285714285713,0.0,1.0,0.0,0.0,0.3,0.3333333333333333,0.0,0.275,0.5,0.2666666666666666,0.4117647058823529,0.0
